Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10001,10.9,No Different than U.S. National Rate,8.6,13.7,371,17.1,No Different than U.S. National Rate,14.4,20.4,400
10002,13.9,No Different than U.S. National Rate,11.3,17,372,17.6,No Different than U.S. National Rate,15,20.6,374
10003,13.4,No Different than U.S. National Rate,11.2,15.8,836,16.9,No Different than U.S. National Rate,14.7,19.5,842
10004,14.9,No Different than U.S. National Rate,11.6,19,239,19.4,No Different than U.S. National Rate,15.9,23.2,254
10005,15.8,No Different than U.S. National Rate,11.4,21.5,61,18,No Different than U.S. National Rate,14,22.8,56
10006,8.7,Better than U.S. National Rate,6.8,11,315,18.7,No Different than U.S. National Rate,15.7,22.2,326
10007,16.2,Worse than U.S. National Rate,13.4,19.6,441,17.7,No Different than U.S. National Rate,15.3,20.7,452
10008,15.8,Worse than U.S. National Rate,12.1,20.2,215,17.7,No Different than U.S. National Rate,14.4,21.8,210
10009,10.7,No Different than U.S. National Rate,8.2,13.6,318,16.9,No Different than U.S. National Rate,14.2,20.3,332
10010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10011,15,Worse than U.S. National Rate,12.1,18.5,324,19.3,No Different than U.S. National Rate,16.2,22.8,336
10012,9.9,No Different than U.S. National Rate,7.4,13.1,150,17.7,No Different than U.S. National Rate,14.5,21.4,183
10013,14.7,No Different than U.S. National Rate,10.8,20.1,116,17.1,No Different than U.S. National Rate,13.6,21.3,112
10014,14.3,No Different than U.S. National Rate,10.9,18.1,203,21.9,No Different than U.S. National Rate,18.1,25.9,214
10015,14.7,Worse than U.S. National Rate,12.3,17.5,354,20.2,No Different than U.S. National Rate,17.1,23.6,358
10016,10.3,No Different than U.S. National Rate,7.5,14.2,115,19.5,No Different than U.S. National Rate,15.7,23.9,113
10017,12,No Different than U.S. National Rate,8.5,16.2,89,17.2,No Different than U.S. National Rate,13.5,21.8,90
10018,12.1,No Different than U.S. National Rate,9.3,15.5,251,14.9,Better than U.S. National Rate,12.1,18.4,260
10019,13.9,No Different than U.S. National Rate,10.1,19.1,89,19.4,No Different than U.S. National Rate,15.7,23.6,105
10020,12.7,No Different than U.S. National Rate,10.1,15.9,316,20.6,No Different than U.S. National Rate,17.4,24,343
10021,11.6,No Different than U.S. National Rate,8.5,15.4,101,18.1,No Different than U.S. National Rate,14.3,22.4,111
10022,12.1,No Different than U.S. National Rate,9.8,14.8,415,17.1,No Different than U.S. National Rate,14.5,20.2,432
10023,11.1,No Different than U.S. National Rate,8.3,14.6,232,20.8,No Different than U.S. National Rate,17.1,24.8,253
10024,12,No Different than U.S. National Rate,9.1,15.6,228,18.1,No Different than U.S. National Rate,14.9,21.7,250
10025,14.1,Worse than U.S. National Rate,12.2,16.1,920,17.5,No Different than U.S. National Rate,15.5,19.8,936
10026,14.6,No Different than U.S. National Rate,11.9,17.9,424,19.5,No Different than U.S. National Rate,16.6,22.6,459
10027,11.2,No Different than U.S. National Rate,7.8,15.6,59,18.7,No Different than U.S. National Rate,14.9,23.1,78
10028,10,No Different than U.S. National Rate,7.2,13.7,222,19.4,No Different than U.S. National Rate,15.8,23.5,244
10029,12.9,No Different than U.S. National Rate,10,16.5,199,18.5,No Different than U.S. National Rate,15.1,22.2,203
10030,12.7,No Different than U.S. National Rate,10,16,376,20.1,No Different than U.S. National Rate,17.1,23.4,393
10031,11.3,No Different than U.S. National Rate,8.1,15.4,104,20.1,No Different than U.S. National Rate,16.3,24.9,120
10032,12.9,No Different than U.S. National Rate,9.8,16.9,182,20.2,No Different than U.S. National Rate,16.6,24.4,190
10033,15.3,No Different than U.S. National Rate,11.7,19.7,153,16.7,No Different than U.S. National Rate,13.6,20.5,174
10034,11.5,No Different than U.S. National Rate,7.9,16.6,38,19,No Different than U.S. National Rate,14.5,24.3,39
10035,10.8,No Different than U.S. National Rate,7.4,16,72,19.1,No Different than U.S. National Rate,15.4,23.6,83
10036,11.9,No Different than U.S. National Rate,9,15.6,214,20.2,No Different than U.S. National Rate,16.9,23.8,257
10037,11.3,No Different than U.S. National Rate,9,14,419,18.8,No Different than U.S. National Rate,15.8,22.1,434
10038,12.6,No Different than U.S. National Rate,10.2,15.2,524,19.5,No Different than U.S. National Rate,16.7,22.7,499
